region_abr;region;date_heure;date;heure;annee_mois;annee;mois;mois_nom;jour;jour_nom;jour_numero;semaine;jour_ferie;consommation;thermique;nucleaire;eolien;solaire;hydraulique;bioenergies;pompage;ech_physiques;export;import;stockage_batterie;destockage_batterie;tch_thermique_rte;tch_nucleaire_rte;tch_eolien_rte;tch_solaire_rte;tch_hydraulique_rte;tch_bioenergies_rte;cap_prod_max_thermique;ind_prod_thermique;thermique_p_disp;cap_prod_max_nucleaire;ind_prod_nucleaire;nucleaire_p_disp;eolien_p_disp;solaire_p_disp;cap_prod_max_hydraulique;ind_prod_hydraulique;hydraulique_p_disp;cap_prod_max_bioenergies;ind_prod_bioenergies;bioenergies_p_disp;region_p_max;tco_thermique;tco_nucleaire;tco_eolien;tco_solaire;tco_hydraulique;tco_pompage;tco_bioenergies;tco_export;tco_import;tco_stockage_batterie;tco_destockage_batterie
FR-CVL;CENTRE VAL DE LOIRE;2013-01-01 00:30:00;2013-01-01;00:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;2476.0;90.0;9085.0;508.0;0.0;34.0;25.0;0.0;-7267.0;-7267.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;157.0;0.0;157.0;11630.0;0.0;11630.0;662.0;155.0;91.0;0.0;91.0;41.276;0.0;41.0;12735.89;3.63;366.92;20.52;0.0;1.37;0.0;1.01;-293.5;0.0;0.0;0.0
FR-PDL;PAYS DE LA LOIRE;2013-01-01 00:30:00;2013-01-01;00:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;3595.0;127.0;0.0;182.0;0.0;0.0;32.0;0.0;3252.0;0.0;3252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1837.0;0.0;1837.0;0.0;0.0;0.0;454.0;385.0;5.0;0.0;5.0;56.503;0.0;57.0;2737.18;3.53;0.0;5.06;0.0;0.0;0.0;0.89;0.0;90.46;0.0;0.0
FR-GES;GRAND EST;2013-01-01 00:30:00;2013-01-01;00:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;4943.0;319.0;9137.0;1109.0;0.0;1418.0;57.0;0.0;-7102.0;-7102.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3378.0;0.0;3378.0;10820.0;0.0;10820.0;1803.0;496.0;2268.0;0.0;2268.0;75.9025;0.0;76.0;18840.15;6.45;184.85;22.44;0.0;28.69;0.0;1.15;-143.68;0.0;0.0;0.0
FR-IDF;ILE DE FRANCE;2013-01-01 00:30:00;2013-01-01;00:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;9134.0;685.0;0.0;16.0;0.0;0.0;142.0;0.0;8289.0;0.0;8289.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2121.0;125.0;1996.0;0.0;0.0;0.0;37.0;108.0;19.0;0.0;19.0;262.354;0.0;262.0;2547.44;7.5;0.0;0.18;0.0;0.0;0.0;1.55;0.0;90.75;0.0;0.0
FR-OCC;OCCITANIE;2013-01-01 00:30:00;2013-01-01;00:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;5228.0;78.0;2497.0;367.0;0.0;943.0;81.0;-13.0;1273.0;0.0;1273.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;245.0;0.0;245.0;2620.0;0.0;2620.0;849.0;1040.0;4923.0;0.0;4923.0;126.337;0.0;126.0;9803.6;1.49;47.76;7.02;0.0;18.04;-0.25;1.55;0.0;24.35;0.0;0.0
FR-NOR;NORMANDIE;2013-01-01 00:30:00;2013-01-01;00:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;3683.0;432.0;8200.0;216.0;0.0;12.0;54.0;0.0;-5233.0;-5233.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;753.0;0.0;753.0;10640.0;0.0;10640.0;423.0;206.0;22.0;0.0;22.0;87.757;0.0;88.0;12131.3;11.73;222.64;5.86;0.0;0.33;0.0;1.47;-142.09;0.0;0.0;0.0
FR-PAC;PROVENCE ALPES COTE D AZUR;2013-01-01 00:30:00;2013-01-01;00:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;5570.0;537.0;0.0;12.0;0.0;1412.0;58.0;0.0;3548.0;0.0;3548.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2095.0;62.0;2033.0;0.0;0.0;0.0;45.0;611.0;3086.0;0.0;3086.0;149.435;0.0;149.0;5987.01;9.64;0.0;0.22;0.0;25.35;0.0;1.04;0.0;63.7;0.0;0.0
FR-BFC;BOURGOGNE FRANCHE COMTE;2013-01-01 00:30:00;2013-01-01;00:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;2357.0;236.0;0.0;106.0;0.0;105.0;12.0;0.0;1894.0;0.0;1894.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;289.0;0.0;289.0;0.0;0.0;0.0;204.0;224.0;430.0;0.0;430.0;24.39;0.0;24.0;1171.28;10.01;0.0;4.5;0.0;4.45;0.0;0.51;0.0;80.36;0.0;0.0
FR-HDF;HAUTS DE FRANCE;2013-01-01 00:30:00;2013-01-01;00:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;5989.0;828.0;4499.0;1115.0;0.0;1.0;69.0;0.0;-525.0;-525.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1806.0;0.0;1806.0;5460.0;0.0;5460.0;1527.0;186.0;4.0;0.0;4.0;122.104;0.0;122.0;9105.09;13.83;75.12;18.62;0.0;0.02;0.0;1.15;-8.77;0.0;0.0;0.0
FR-BRE;BRETAGNE;2013-01-01 00:30:00;2013-01-01;00:30:00;2013-01;2013;1;Jan;1;Tue;001;00;False;3050.0;58.0;0.0;107.0;0.0;86.0;20.0;-1.0;2779.0;0.0;2779.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;658.0;0.0;658.0;0.0;0.0;0.0;716.0;201.0;11.0;0.0;11.0;35.648;0.0;36.0;1621.37;1.9;0.0;3.51;0.0;2.82;-0.03;0.66;0.0;91.11;0.0;0.0
