region;date;heure;consommation;mois;annee;date_ym;date_heure;thermique;nucleaire;eolien;solaire;hydraulique;pompage;bioenergies;ech_physiques;stockage_batterie;destockage_batterie;tch_thermique_rte;tch_nucleaire_rte;tch_eolien_rte;tch_solaire_rte;tch_hydraulique_rte;tch_bioenergies_rte;export;import;tco_thermique;tco_nucleaire;tco_eolien;tco_solaire;tco_hydraulique;tco_pompage;tco_bioenergies;tco_export;tco_import;tco_stockage_batterie;tco_destockage_batterie;total_tco;tco_prod_tot
CENTRE VAL DE LOIRE;2013-01-01;00:30:00;2476.0;1;2013;2013-01;2013-01-01 00:30:00;90.0;9085.0;508.0;0.0;34.0;0.0;25.0;-7267.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-7267.0;0.0;3.63;366.92;20.52;0.0;1.37;0.0;1.01;-293.5;0.0;0.0;0.0;99.96;393.46
PAYS DE LA LOIRE;2013-01-01;00:30:00;3595.0;1;2013;2013-01;2013-01-01 00:30:00;127.0;0.0;182.0;0.0;0.0;0.0;32.0;3252.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3252.0;3.53;0.0;5.06;0.0;0.0;0.0;0.89;0.0;90.46;0.0;0.0;99.94;9.49
GRAND EST;2013-01-01;00:30:00;4943.0;1;2013;2013-01;2013-01-01 00:30:00;319.0;9137.0;1109.0;0.0;1418.0;0.0;57.0;-7102.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-7102.0;0.0;6.45;184.85;22.44;0.0;28.69;0.0;1.15;-143.68;0.0;0.0;0.0;99.9;243.58
ILE DE FRANCE;2013-01-01;00:30:00;9134.0;1;2013;2013-01;2013-01-01 00:30:00;685.0;0.0;16.0;0.0;0.0;0.0;142.0;8289.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8289.0;7.5;0.0;0.18;0.0;0.0;0.0;1.55;0.0;90.75;0.0;0.0;99.98;9.23
OCCITANIE;2013-01-01;00:30:00;5228.0;1;2013;2013-01;2013-01-01 00:30:00;78.0;2497.0;367.0;0.0;943.0;-13.0;81.0;1273.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1273.0;1.49;47.76;7.02;0.0;18.04;-0.25;1.55;0.0;24.35;0.0;0.0;99.96;75.86
NORMANDIE;2013-01-01;00:30:00;3683.0;1;2013;2013-01;2013-01-01 00:30:00;432.0;8200.0;216.0;0.0;12.0;0.0;54.0;-5233.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5233.0;0.0;11.73;222.64;5.86;0.0;0.33;0.0;1.47;-142.09;0.0;0.0;0.0;99.95;242.03
PROVENCE ALPES COTE D AZUR;2013-01-01;00:30:00;5570.0;1;2013;2013-01;2013-01-01 00:30:00;537.0;0.0;12.0;0.0;1412.0;0.0;58.0;3548.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3548.0;9.64;0.0;0.22;0.0;25.35;0.0;1.04;0.0;63.7;0.0;0.0;99.95;36.25
BOURGOGNE FRANCHE COMTE;2013-01-01;00:30:00;2357.0;1;2013;2013-01;2013-01-01 00:30:00;236.0;0.0;106.0;0.0;105.0;0.0;12.0;1894.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1894.0;10.01;0.0;4.5;0.0;4.45;0.0;0.51;0.0;80.36;0.0;0.0;99.83;19.47
HAUTS DE FRANCE;2013-01-01;00:30:00;5989.0;1;2013;2013-01;2013-01-01 00:30:00;828.0;4499.0;1115.0;0.0;1.0;0.0;69.0;-525.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-525.0;0.0;13.83;75.12;18.62;0.0;0.02;0.0;1.15;-8.77;0.0;0.0;0.0;99.97;108.73
BRETAGNE;2013-01-01;00:30:00;3050.0;1;2013;2013-01;2013-01-01 00:30:00;58.0;0.0;107.0;0.0;86.0;-1.0;20.0;2779.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2779.0;1.9;0.0;3.51;0.0;2.82;-0.03;0.66;0.0;91.11;0.0;0.0;99.97;8.89
