region,filiere_globale,code_eic_centrale,capacite_installee,capacite_disponible,capacite_indisponible,date,date_debut
NORMANDIE,nucleaire,17W100P100P0127L,1330.0,650.0,680.0,2013-01-01 14:00:00,2013-01-01 14:00:00
NOUVELLE AQUITAINE,nucleaire,17W100P100P0113W,1495.0,900.0,595.0,2013-01-01 04:00:00,2013-01-01 04:00:00
NOUVELLE AQUITAINE,nucleaire,17W100P100P0113W,1495.0,0.0,1495.0,2013-01-01 04:00:00,2013-01-01 04:00:00
AUVERGNE RHONE ALPES,nucleaire,17W100P100P0153K,915.0,458.0,457.0,2013-01-01 11:00:00,2013-01-01 11:00:00
AUVERGNE RHONE ALPES,nucleaire,17W100P100P0153K,915.0,458.0,457.0,2013-01-01 11:00:00,2013-01-01 11:00:00
NORMANDIE,nucleaire,17W100P100P0127L,1330.0,650.0,680.0,2013-01-01 14:00:00,2013-01-01 14:00:00
GRAND EST,nucleaire,17W100P100P0137I,1310.0,750.0,560.0,2013-01-06 11:00:00,2013-01-06 11:00:00
GRAND EST,nucleaire,17W100P100P0137I,1310.0,880.0,430.0,2013-01-06 11:00:00,2013-01-06 11:00:00
PROVENCE ALPES COTE D AZUR,thermique,17W100P100P0008T,230.0,10.0,220.0,2013-01-11 12:30:00,2013-01-11 12:30:00
PROVENCE ALPES COTE D AZUR,thermique,17W100P100P0008T,230.0,125.0,105.0,2013-01-11 12:30:00,2013-01-11 12:30:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 19:00:00,2013-01-15 19:00:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 19:30:00,2013-01-15 19:30:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 20:00:00,2013-01-15 20:00:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 20:30:00,2013-01-15 20:30:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 21:00:00,2013-01-15 21:00:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 21:30:00,2013-01-15 21:30:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 22:00:00,2013-01-15 22:00:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 22:30:00,2013-01-15 22:30:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 23:00:00,2013-01-15 23:00:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 23:30:00,2013-01-15 23:30:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 19:00:00,2013-01-15 19:00:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 19:30:00,2013-01-15 19:30:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 20:00:00,2013-01-15 20:00:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 20:30:00,2013-01-15 20:30:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 21:00:00,2013-01-15 21:00:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 21:30:00,2013-01-15 21:30:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 22:00:00,2013-01-15 22:00:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 22:30:00,2013-01-15 22:30:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 23:00:00,2013-01-15 23:00:00
HAUTS DE FRANCE,thermique,17W100P100P0006X,240.0,0.0,240.0,2013-01-15 23:30:00,2013-01-15 23:30:00
