region;filiere;date;capacite_indisponible
AUVERGNE RHONE ALPES;hydraulique;2013-01-01 17:30:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-01 18:00:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-01 18:30:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-01 19:00:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-04 00:30:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-04 01:00:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-07 12:30:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-07 13:00:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-07 13:30:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-07 14:00:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-07 14:30:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-09 10:30:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-09 11:00:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-09 11:30:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-09 12:00:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-10 17:30:00;146.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-10 18:00:00;146.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-10 18:30:00;146.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-10 19:00:00;146.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-10 19:30:00;146.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-10 20:00:00;146.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 09:00:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 09:30:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 10:00:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 10:30:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 11:00:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 11:30:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 12:00:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-19 07:00:00;152.0
