Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 30
28;Normandie;Données définitives;2013-01-01;00:00;2013-01-01T00:00:00+01:00;;;;ND;;;;;;;;;;;;;;;;;;;;;;
84;Auvergne-Rhône-Alpes;Données définitives;2013-01-01;00:00;2013-01-01T00:00:00+01:00;;;;ND;;;;;;;;;;;;;;;;;;;;;;
76;Occitanie;Données définitives;2013-01-01;00:00;2013-01-01T00:00:00+01:00;;;;ND;;;;;;;;;;;;;;;;;;;;;;
93;Provence-Alpes-Côte d'Azur;Données définitives;2013-01-01;00:00;2013-01-01T00:00:00+01:00;;;;ND;;;;;;;;;;;;;;;;;;;;;;
44;Grand Est;Données définitives;2013-01-01;00:00;2013-01-01T00:00:00+01:00;;;;ND;;;;;;;;;;;;;;;;;;;;;;
27;Bourgogne-Franche-Comté;Données définitives;2013-01-01;00:00;2013-01-01T00:00:00+01:00;;;;ND;;;;;;;;;;;;;;;;;;;;;;
53;Bretagne;Données définitives;2013-01-01;00:00;2013-01-01T00:00:00+01:00;;;;ND;;;;;;;;;;;;;;;;;;;;;;
11;Île-de-France;Données définitives;2013-01-01;00:00;2013-01-01T00:00:00+01:00;;;;ND;;;;;;;;;;;;;;;;;;;;;;
32;Hauts-de-France;Données définitives;2013-01-01;00:00;2013-01-01T00:00:00+01:00;;;;ND;;;;;;;;;;;;;;;;;;;;;;
24;Centre-Val de Loire;Données définitives;2013-01-01;00:00;2013-01-01T00:00:00+01:00;;;;ND;;;;;;;;;;;;;;;;;;;;;;
75;Nouvelle-Aquitaine;Données définitives;2013-01-01;00:00;2013-01-01T00:00:00+01:00;;;;ND;;;;;;;;;;;;;;;;;;;;;;
52;Pays de la Loire;Données définitives;2013-01-01;00:00;2013-01-01T00:00:00+01:00;;;;ND;;;;;;;;;;;;;;;;;;;;;;
24;Centre-Val de Loire;Données définitives;2013-01-01;00:30;2013-01-01T00:30:00+01:00;2476.0;90.0;9085.0;508;0.0;34.0;;25.0;-7267.0;;;;;;;;;;;;;;;;;
52;Pays de la Loire;Données définitives;2013-01-01;00:30;2013-01-01T00:30:00+01:00;3595.0;127.0;;182;0.0;0.0;;32.0;3252.0;;;;;;;;;;;;;;;;;
44;Grand Est;Données définitives;2013-01-01;00:30;2013-01-01T00:30:00+01:00;4943.0;319.0;9137.0;1109;0.0;1418.0;0.0;57.0;-7102.0;;;;;;;;;;;;;;;;;
11;Île-de-France;Données définitives;2013-01-01;00:30;2013-01-01T00:30:00+01:00;9134.0;685.0;;16;0.0;0.0;;142.0;8289.0;;;;;;;;;;;;;;;;;
76;Occitanie;Données définitives;2013-01-01;00:30;2013-01-01T00:30:00+01:00;5228.0;78.0;2497.0;367;0.0;943.0;-13.0;81.0;1273.0;;;;;;;;;;;;;;;;;
28;Normandie;Données définitives;2013-01-01;00:30;2013-01-01T00:30:00+01:00;3683.0;432.0;8200.0;216;0.0;12.0;;54.0;-5233.0;;;;;;;;;;;;;;;;;
93;Provence-Alpes-Côte d'Azur;Données définitives;2013-01-01;00:30;2013-01-01T00:30:00+01:00;5570.0;537.0;;12;0.0;1412.0;0.0;58.0;3548.0;;;;;;;;;;;;;;;;;
27;Bourgogne-Franche-Comté;Données définitives;2013-01-01;00:30;2013-01-01T00:30:00+01:00;2357.0;236.0;;106;0.0;105.0;0.0;12.0;1894.0;;;;;;;;;;;;;;;;;
32;Hauts-de-France;Données définitives;2013-01-01;00:30;2013-01-01T00:30:00+01:00;5989.0;828.0;4499.0;1115;0.0;1.0;;69.0;-525.0;;;;;;;;;;;;;;;;;
