Feature,Importance
cap_prod_max_nucleaire,0.97546285
solaire_p_disp,0.013231977
nucleaire,0.0055410117
eolien_p_disp,0.0010649029
pompage,0.00050752424
cap_prod_max_hydraulique,0.0004934087
thermique,0.0004199602
cap_prod_max_bioenergies,0.00034008408
population,0.00033381657
region_encoded,0.00029855306
hydraulique,0.00029627339
jour_fractionnel_cos,0.00029297813
nucleaire_p_disp,0.00027547637
eolien,0.0002256404
heure_decimale_sin,0.00022119205
heure_decimale_cos,0.00019632674
cap_prod_max_thermique,0.00019611059
hydraulique_p_disp,0.00016899586
solaire,0.00013267969
thermique_p_disp,9.458285e-05
jour_fractionnel_sin,9.3285395e-05
annee,5.1610998e-05
bioenergies_p_disp,3.4025605e-05
bioenergies,2.6889114e-05
destockage_batterie,0.0
stockage_batterie,0.0
