,region,date_debut,date_fin_previsionnelle,filiere_globale,code_eic_centrale,capacite_installee,capacite_disponible,capacite_indisponible
0,NORMANDIE,2013-01-01 08:00:00,2013-01-01 14:00:00,nucleaire,17W100P100P0127L,1330.0,650.0,680.0
1,ILE DE FRANCE,2012-12-31 22:10:00,2013-01-02 17:00:00,thermique,17W100P100P0031Y,125.0,0.0,125.0
2,NOUVELLE AQUITAINE,2012-12-31 20:00:00,2013-01-01 04:00:00,nucleaire,17W100P100P0113W,1495.0,900.0,595.0
3,NOUVELLE AQUITAINE,2013-01-01 04:00:00,2013-01-01 11:00:00,nucleaire,17W100P100P0113W,1495.0,0.0,1495.0
4,AUVERGNE RHONE ALPES,2013-01-01 07:00:00,2013-01-01 11:00:00,nucleaire,17W100P100P0153K,915.0,458.0,457.0
5,GRAND EST,2013-01-01 04:08:00,2013-01-01 04:50:00,hydraulique,17W100P100P0076C,202.0,0.0,202.0
6,AUVERGNE RHONE ALPES,2013-01-01 17:16:00,2013-01-01 19:15:00,hydraulique,17W100P100P00885,180.0,0.0,180.0
7,CENTRE VAL DE LOIRE,2013-01-01 10:00:00,2013-01-01 12:00:00,nucleaire,17W100P100P0147F,915.0,0.0,915.0
8,AUVERGNE RHONE ALPES,2013-01-01 11:00:00,2013-01-02 12:00:00,nucleaire,17W100P100P0153K,915.0,458.0,457.0
9,NORMANDIE,2013-01-01 14:00:00,2013-01-01 15:38:00,nucleaire,17W100P100P0144L,1330.0,287.0,1043.0
10,NORMANDIE,2013-01-01 14:00:00,2013-01-01 16:00:00,nucleaire,17W100P100P0127L,1330.0,650.0,680.0
11,NORMANDIE,2013-01-01 17:00:00,2013-01-01 21:45:00,nucleaire,17W100P100P0127L,1330.0,650.0,680.0
12,PAYS DE LA LOIRE,2013-01-02 04:50:00,2013-01-02 05:45:00,thermique,17W100P100P0018Q,580.0,0.0,580.0
13,PAYS DE LA LOIRE,2013-01-02 08:00:00,2013-01-02 12:40:00,thermique,17W100P100P0017S,580.0,0.0,580.0
