region,date_heure,annee,jour_numero,heure,jour_fractionnel,thermique,nucleaire,eolien,solaire,hydraulique,bioenergies,pompage,ech_physiques,stockage_batterie,destockage_batterie,cap_prod_max_thermique,thermique_p_disp,cap_prod_max_nucleaire,nucleaire_p_disp,eolien_p_disp,solaire_p_disp,cap_prod_max_hydraulique,hydraulique_p_disp,cap_prod_max_bioenergies,bioenergies_p_disp,population
AUVERGNE RHONE ALPES,2014-07-07 00:30:00,2014,188,00:30:00,188.02,34.0,8369.0,15.0,0.0,3035.0,74.0,-29.0,-5911.0,0.0,0.0,938.0,938.0,13570.0,13570.0,347.0,818.0,11145.0,10993.0,140.0,140.0,7820966
PROVENCE ALPES COTE D AZUR,2020-09-27 18:00:00,2020,271,18:00:00,271.75,748.0,0.0,27.0,209.0,329.0,68.0,0.0,2285.0,0.0,0.0,2710.0,2339.0,0.0,0.0,48.0,1512.0,3262.0,3185.0,357.0,207.0,5098666
PROVENCE ALPES COTE D AZUR,2014-01-04 22:00:00,2014,4,22:00:00,4.92,258.0,0.0,35.0,0.0,1384.0,71.0,0.0,3404.0,0.0,0.0,2592.0,2318.0,0.0,0.0,45.0,783.0,3160.0,3160.0,151.0,151.0,4983438
BRETAGNE,2017-07-01 08:00:00,2017,182,08:00:00,182.33,1.0,0.0,185.0,4.0,167.0,49.0,-1.0,1232.0,0.0,0.0,848.0,763.0,0.0,0.0,916.0,238.0,275.0,275.0,66.0,66.0,3318904
CENTRE VAL DE LOIRE,2017-07-04 15:00:00,2017,185,15:00:00,185.62,0.0,5522.0,0.0,171.0,0.0,55.0,0.0,-3727.0,0.0,0.0,198.0,198.0,11630.0,10662.0,947.0,269.0,91.0,91.0,76.0,76.0,2576252
OCCITANIE,2019-03-06 13:00:00,2019,65,13:00:00,65.54,73.0,1271.0,977.0,518.0,2047.0,100.0,0.0,180.0,0.0,0.0,307.0,307.0,2620.0,1310.0,1499.0,2007.0,5485.0,5308.0,146.0,146.0,5933185
PROVENCE ALPES COTE D AZUR,2019-09-03 13:00:00,2019,246,13:00:00,246.54,619.0,0.0,13.0,891.0,588.0,108.0,0.0,2727.0,0.0,0.0,2674.0,2293.0,0.0,0.0,48.0,1389.0,3242.0,3095.0,357.0,207.0,5081101
GRAND EST,2017-03-05 23:00:00,2017,64,23:00:00,64.96,893.0,7402.0,2329.0,0.0,1212.0,92.0,-6.0,-6354.0,0.0,0.0,3453.0,2914.0,10820.0,9497.0,2879.0,535.0,2297.0,2083.0,140.0,140.0,5549586
PROVENCE ALPES COTE D AZUR,2014-01-16 21:00:00,2014,16,21:00:00,16.88,437.0,0.0,18.0,0.0,1328.0,69.0,0.0,4246.0,0.0,0.0,2592.0,2211.0,0.0,0.0,45.0,783.0,3160.0,3160.0,151.0,151.0,4983438
PROVENCE ALPES COTE D AZUR,2020-07-06 02:00:00,2020,188,02:00:00,188.08,237.0,0.0,19.0,0.0,1049.0,59.0,0.0,2157.0,0.0,0.0,2710.0,2292.0,0.0,0.0,48.0,1471.0,3261.0,3183.0,357.0,207.0,5098666
BOURGOGNE FRANCHE COMTE,2017-09-13 16:00:00,2017,256,16:00:00,256.67,26.0,0.0,492.0,55.0,94.0,24.0,0.0,1720.0,0.0,0.0,331.0,331.0,0.0,0.0,636.0,271.0,519.0,519.0,34.0,34.0,2811423
PROVENCE ALPES COTE D AZUR,2016-09-30 03:30:00,2016,274,03:30:00,274.15,728.0,0.0,1.0,0.0,231.0,111.0,0.0,2228.0,0.0,0.0,2614.0,2369.0,0.0,0.0,48.0,1047.0,3192.0,3192.0,354.0,354.0,5021928
NOUVELLE AQUITAINE,2020-07-18 12:30:00,2020,200,12:30:00,200.52,42.0,3242.0,28.0,2039.0,53.0,192.0,0.0,-932.0,0.0,0.0,571.0,571.0,6630.0,5549.0,1166.0,2694.0,1783.0,1678.0,341.0,341.0,6033952
PAYS DE LA LOIRE,2022-02-04 16:30:00,2022,35,16:30:00,35.69,440.0,0.0,450.0,50.0,5.0,59.0,0.0,2688.0,0.0,0.0,2068.0,1778.0,0.0,0.0,1133.0,812.0,10.0,10.0,80.0,80.0,3878839
PAYS DE LA LOIRE,2018-05-04 03:30:00,2018,124,03:30:00,124.15,-9.0,0.0,182.0,0.0,4.0,49.0,0.0,2352.0,0.0,0.0,1968.0,1707.0,0.0,0.0,804.0,542.0,8.0,8.0,69.0,69.0,3781423
BOURGOGNE FRANCHE COMTE,2021-11-29 07:00:00,2021,333,07:00:00,333.29,148.0,0.0,112.0,0.0,19.0,49.0,0.0,2919.0,0.0,0.0,401.0,401.0,0.0,0.0,992.0,482.0,524.0,524.0,72.0,72.0,2800194
AUVERGNE RHONE ALPES,2020-03-19 10:30:00,2020,79,10:30:00,79.44,564.0,8814.0,32.0,578.0,4089.0,117.0,-3.0,-7464.0,0.0,0.0,1034.0,1034.0,13570.0,12644.0,647.0,1253.0,11746.0,11601.0,192.0,192.0,8078652
GRAND EST,2021-06-12 15:30:00,2021,163,15:30:00,163.65,28.0,4074.0,485.0,311.0,1114.0,127.0,0.0,-2004.0,0.0,0.0,3585.0,3172.0,10820.0,9940.0,3913.0,895.0,2305.0,2103.0,207.0,207.0,5561287
BRETAGNE,2018-10-04 04:00:00,2018,277,04:00:00,277.17,1.0,0.0,57.0,0.0,0.0,44.0,-56.0,1638.0,0.0,0.0,923.0,838.0,0.0,0.0,988.0,255.0,270.0,270.0,69.0,69.0,3335414
NORMANDIE,2018-01-29 19:30:00,2018,29,19:30:00,29.81,934.0,7836.0,362.0,0.0,17.0,45.0,0.0,-4990.0,0.0,0.0,813.0,813.0,10640.0,9310.0,705.0,233.0,31.0,31.0,102.0,102.0,3327477
NORMANDIE,2015-11-10 22:00:00,2015,314,22:00:00,314.92,676.0,7646.0,90.0,0.0,8.0,59.0,0.0,-5193.0,0.0,0.0,773.0,773.0,10640.0,9310.0,538.0,216.0,24.0,24.0,95.0,95.0,3339131
OCCITANIE,2017-12-26 01:00:00,2017,360,01:00:00,360.04,83.0,2039.0,264.0,0.0,453.0,100.0,-891.0,3192.0,0.0,0.0,291.0,291.0,2620.0,2620.0,1365.0,1808.0,5481.0,5254.0,145.0,145.0,5845102
BOURGOGNE FRANCHE COMTE,2015-05-16 01:30:00,2015,136,01:30:00,136.06,25.0,0.0,68.0,0.0,81.0,25.0,0.0,1573.0,0.0,0.0,325.0,80.0,0.0,0.0,344.0,254.0,510.0,510.0,29.0,29.0,2820940
OCCITANIE,2013-06-16 11:30:00,2013,167,11:30:00,167.48,-2.0,1076.0,332.0,510.0,1436.0,69.0,-472.0,127.0,0.0,0.0,245.0,245.0,2620.0,2620.0,866.0,1059.0,5379.0,5379.0,126.0,126.0,5683878
BRETAGNE,2020-04-21 09:00:00,2020,112,09:00:00,112.38,1.0,0.0,84.0,15.0,9.0,51.0,-50.0,2229.0,0.0,0.0,978.0,877.0,0.0,0.0,1028.0,280.0,272.0,272.0,79.0,79.0,3373835
PAYS DE LA LOIRE,2018-04-25 16:30:00,2018,115,16:30:00,115.69,-39.0,0.0,287.0,271.0,4.0,44.0,0.0,2340.0,0.0,0.0,1968.0,1871.0,0.0,0.0,796.0,541.0,8.0,8.0,69.0,69.0,3781423
BRETAGNE,2019-04-17 17:00:00,2019,107,17:00:00,107.71,1.0,0.0,428.0,107.0,5.0,50.0,-1.0,1734.0,0.0,0.0,956.0,871.0,0.0,0.0,1004.0,264.0,270.0,270.0,71.0,71.0,3354854
OCCITANIE,2013-12-19 08:00:00,2013,353,08:00:00,353.33,57.0,2573.0,61.0,0.0,1908.0,77.0,0.0,922.0,0.0,0.0,251.0,251.0,2620.0,2620.0,889.0,1192.0,5395.0,5395.0,127.0,127.0,5683878
HAUTS DE FRANCE,2020-11-20 21:00:00,2020,325,21:00:00,325.88,1762.0,4341.0,1164.0,0.0,1.0,118.0,0.0,-1080.0,0.0,0.0,2984.0,2984.0,5460.0,4590.0,5303.0,272.0,5.0,5.0,181.0,181.0,5997734
NORMANDIE,2015-12-23 09:30:00,2015,357,09:30:00,357.4,445.0,7651.0,214.0,2.0,20.0,44.0,0.0,-4748.0,0.0,0.0,773.0,193.0,10640.0,9310.0,538.0,217.0,31.0,31.0,95.0,95.0,3339131
NORMANDIE,2019-02-19 18:30:00,2019,50,18:30:00,50.77,515.0,7023.0,34.0,0.0,21.0,40.0,0.0,-3830.0,0.0,0.0,833.0,253.0,10640.0,9393.0,791.0,253.0,31.0,31.0,105.0,105.0,3325032
